province,city,cityType,lon,lat
河南,商丘市,地级市,115.65,34.44
河南,信阳市,地级市,114.08,32.13
河南,驻马店市,地级市,114.02,32.98
河南,周口市,地级市,114.63,33.63
河南,三门峡市,地级市,111.19,34.76
湖北,武汉市,副省级市,114.31,30.52
湖北,黄石市,地级市,115.09,30.2
湖北,十堰市,地级市,110.79,32.65
湖北,黄冈市,地级市,114.87,30.44
湖北,宜昌市,地级市,111.3,30.7
湖北,咸宁市,地级市,114.28,29.87
湖北,襄阳市,地级市,112.12255,32.009
湖北,随州市,地级市,113.38262,31.69013
湖北,鄂州市,地级市,114.89495,30.39085
湖北,荆门市,地级市,112.19,31.02
湖北,孝感市,地级市,113.91,31.92
湖北,荆州市,地级市,112.24069,30.33479
湖北,恩施州,地级市,109.48817,30.27217
湖南,长沙市,地级市,113,28.21
湖南,株洲市,地级市,113.16,27.83
湖南,湘潭市,地级市,112.91,27.87
湖南,衡阳市,地级市,112.39,26.98
湖南,邵阳市,地级市,111.5,27.22
湖南,岳阳市,地级市,113.09,29.37
湖南,常德市,地级市,111.69,29.05
湖南,益阳市,地级市,112.33,28.6
湖南,郴州市,地级市,113,25.79
湖南,永州市,地级市,111.63,26.22
湖南,怀化市,地级市,109.95,27.52
湖南,湘西州,地级市,109.73893,28.31173
湖南,张家界市,地级市,110.47839,29.11667
湖南,娄底市,地级市,111.96,27.71
广东,广州市,副省级市,113.23,23.16
广东,韶关市,地级市,113.62,24.84
广东,深圳市,副省级市,114.07,22.62
广东,珠海市,地级市,113.52,22.3
广东,汕头市,地级市,116.69,23.39
广东,佛山市,地级市,113.11,23.05
广东,江门市,地级市,113.06,22.61
广东,湛江市,地级市,110.35894,21.27134
广东,茂名市,地级市,110.88,21.68
广东,肇庆市,地级市,112.44,23.05
广东,惠州市,地级市,114.4,23.09
广东,梅州市,地级市,116.1,24.55
广东,汕尾市,地级市,115.37514,22.78566
广东,河源市,地级市,114.68,23.73
广东,阳江市,地级市,111.95,21.85
广东,清远市,地级市,113.01,23.7
广东,东莞市,地级市,113.75,23.04
广东,中山市,地级市,113.38,22.52
广东,潮州市,地级市,116.63,23.68
广东,揭阳市,地级市,116.35,23.55
广西,南宁市,地级市,108.33,22.84
广西,柳州市,地级市,109.4,24.33
广西,桂林市,地级市,110.28,25.29
广西,梧州市,地级市,111.34,23.51
广西,北海市,地级市,109.12,21.49
广西,钦州市,地级市,108.61,21.96
广西,贵港市,地级市,109.59764,23.11306
广西,玉林市,地级市,110.14,22.64
广西,来宾市,地级市,109.24,23.76
广西,百色市,地级市,106.62,23.91
广西,崇左市,地级市,107.37,22.42
广西,贺州市,地级市,111.56655,24.40346
广西,河池市,地级市,108.06,24.7
广西,防城港市,地级市,108.35472,21.68713
海南,海口市,地级市,110.35,20.02
海南,儋州市,地级市,109.58069,19.52093
海南,三亚市,地级市,109.51209,18.25248
重庆,重庆市,直辖市,106.54,29.59
四川,成都市,副省级市,104.06,30.67
四川,自贡市,地级市,104.77844,29.3392
四川,攀枝花市,地级市,101.71872,26.58228
四川,泸州市,地级市,105.39,28.91
四川,德阳市,地级市,104.37,31.13
四川,绵阳市,地级市,104.73,31.48
四川,广元市,地级市,105.84357,32.43549
四川,遂宁市,地级市,105.58,30.52
四川,内江市,地级市,105.04,29.59
四川,乐山市,地级市,103.76539,29.55221
四川,南充市,地级市,106.11073,30.83731
四川,眉山市,地级市,103.84851,30.07563
四川,宜宾市,地级市,104.56,29.77
四川,广安市,地级市,106.61,30.48
四川,达州市,地级市,107.46791,31.20864
四川,巴中市,地级市,106.73,31.86
四川,雅安市,地级市,102.97,29.97
四川,资阳市,地级市,104.6,30.19
四川,阿坝州,自治州,101.72,31.93
四川,甘孜州,自治州,99.96,31.64
四川,凉山州,自治州,102.26746,27.88164
贵州,贵阳市,地级市,106.71,26.57
贵州,六盘水市,地级市,104.82,26.58
贵州,遵义市,地级市,106.9,27.7
贵州,毕节市,地级市,105.29,27.32
贵州,铜仁市,地级市,109.21,27.73
贵州,黔西南州,自治州,104.90437,25.08988
贵州,黔东南州,自治州,107.98416,26.58364
贵州,黔南州,自治州,107.52226,26.25427
贵州,安顺市,地级市,105.9462,26.25367
云南,昆明市,地级市,102.73,25.04
云南,曲靖市,地级市,103.79,25.51
云南,玉溪市,地级市,102.52,24.35
云南,保山市,地级市,99.16181,25.11205
云南,昭通市,地级市,103.7,29.32
云南,丽江市,地级市,100.25,26.86
云南,普洱市,地级市,101.03,23.07
云南,临沧市,地级市,100.08884,23.88426
云南,文山州,自治州,104.24,23.37
云南,红河州,自治州,102.42,23.35
云南,西双版纳州,自治州,100.79739,22.00749
云南,楚雄州,自治州,101.54,25.01
云南,大理州,自治州,100.19,25.69
云南,德宏州,自治州,98.58486,24.43232
云南,怒江州,自治州,98.8567,25.81763
云南,迪庆州,自治州,99.70305,27.81908
陕西,西安市,副省级市,108.95,34.27
陕西,铜川市,地级市,109.11,35.09
陕西,宝鸡市,地级市,107.15,34.38
陕西,咸阳市,地级市,108.72,34.36
陕西,渭南市,地级市,109.5,34.52
陕西,延安市,地级市,109.47,36.6
陕西,汉中市,地级市,108.04,33.07
陕西,榆林市,地级市,109.77,38.3
陕西,安康市,地级市,109.02,32.7
陕西,商洛市,地级市,109.94041,33.87036
甘肃,兰州市,地级市,103.73,36.03
甘肃,嘉峪关市,地级市,98.29011,39.77201
甘肃,金昌市,地级市,102.18759,38.52006
甘肃,白银市,地级市,104.13773,36.5447
甘肃,天水市,地级市,105.69,34.6
甘肃,酒泉市,地级市,98.5,39.71
甘肃,张掖市,地级市,100.46,38.93
甘肃,武威市,地级市,102.61,37.94
甘肃,定西市,地级市,104.57,35.57
甘肃,陇南市,地级市,104.92667,33.39189
甘肃,平凉市,地级市,106.68,35.51
甘肃,庆阳市,地级市,107.88,36.03
甘肃,临夏州,自治州,103.22,35.62
甘肃,甘南州,自治州,123.48,47.9
青海,西宁市,地级市,101.74,36.56
青海,海东市,地级市,102.40173,36.48209
青海,海北州,自治州,100.90096,36.95454
青海,黄南州,自治州,102.01507,35.51991
青海,海南州,自治州,100.62037,36.28663
青海,果洛州,自治州,100.24475,34.47141
青海,玉树州,自治州,96.97,33.03
青海,海西州,自治州,95.3621,37.85044
宁夏,银川市,地级市,106.27,38.47
宁夏,石嘴山市,地级市,106.39,39.04
宁夏,吴忠市,地级市,106.21,37.99
宁夏,固原市,地级市,106.28,36.01
宁夏,中卫市,地级市,105.18,37.51
新疆,乌鲁木齐市,地级市,87.68,43.77
新疆,克拉玛依市,地级市,84.77,45.59
新疆,吐鲁番市,地级市,89.19,42.91
新疆,哈密市,地级市,93.44,42.78
西藏,拉萨市,地级市,91.11,29.97
